ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
517,1,1,0,0,3,2,0,2,1,2,1,0
518,0,2,1,0,0,2,0,3,1,1,3,0
519,0,1,1,0,1,1,0,2,1,2,0,1
520,0,1,1,0,1,1,0,1,3,1,1,1
521,1,2,1,1,0,1,0,2,1,2,0,0
522,1,0,0,0,1,2,0,1,1,1,4,1
523,1,3,0,0,1,1,0,4,2,2,0,1
524,1,1,0,0,0,1,0,2,1,2,3,0
525,1,1,0,0,3,1,0,4,2,2,0,1
526,1,2,0,0,0,2,0,3,2,1,3,0
527,1,0,1,0,0,1,0,0,0,1,0,1
528,0,2,0,0,3,1,0,1,2,1,1,1
529,0,1,0,0,1,1,0,1,2,1,3,1
530,1,0,0,1,2,1,0,4,1,1,0,0
531,1,1,0,0,1,1,0,2,0,1,0,1
532,1,3,0,0,4,1,0,3,0,0,0,1
